state_fips,county_fips,region,state_name,county_name,area_land,area_water,internal_point_lat,internal_point_lon,pop_est_2018,pop_est_2019,births_2019,deaths_2019,international_migr_2019,domestic_migr_2019,residual_2019
01,001,3,Alabama,Autauga County,1539602137,25706961,+32.5322367,-086.6464395,55533,55869,624,541,-16,270,-1
01,003,3,Alabama,Baldwin County,4117621645,1132980868,+30.6592183,-087.7460666,217855,223234,2304,2326,80,5297,24
01,005,3,Alabama,Barbour County,2292160139,50523213,+31.8702531,-085.4051035,24872,24686,256,312,13,-141,-2
01,007,3,Alabama,Bibb County,1612167476,9602089,+33.0158929,-087.1271475,22367,22394,240,252,10,31,-2
01,009,3,Alabama,Blount County,1670103866,15015467,+33.9773575,-086.5664400,57771,57826,651,657,6,59,-4
01,011,3,Alabama,Bullock County,1613076054,6038093,+32.1017589,-085.7172613,10174,10101,109,109,-1,-72,0
01,013,3,Alabama,Butler County,2012002531,2701198,+31.7516670,-086.6819689,19631,19448,213,272,18,-141,-1
01,015,3,Alabama,Calhoun County,1569195268,16587192,+33.7705162,-085.8279089,114331,113605,1269,1532,14,-475,-2
01,017,3,Alabama,Chambers County,1545085607,16971700,+32.9155039,-085.3940321,33600,33254,354,441,6,-265,0
01,019,3,Alabama,Cherokee County,1433623319,120308342,+34.0695153,-085.6542417,26014,26196,222,343,-3,306,0
01,021,3,Alabama,Chilton County,1794477075,20592142,+32.8540514,-086.7266071,44163,44428,551,503,35,184,-2
01,023,3,Alabama,Choctaw County,2365869841,19144469,+31.9909539,-088.2488894,12833,12589,133,176,-2,-199,0
01,025,3,Alabama,Clarke County,3207494106,36657891,+31.6855211,-087.8186244,23918,23622,266,324,-5,-232,-1
01,027,3,Alabama,Clay County,1564251834,5285207,+33.2703999,-085.8635254,13294,13235,143,187,-2,-12,-1
01,029,3,Alabama,Cleburne County,1450663786,2354896,+33.6719637,-085.5161261,15010,14910,187,189,-11,-86,-1
01,031,3,Alabama,Coffee County,1758565919,3907189,+31.4022580,-085.9896022,51950,52342,599,570,34,334,-5
01,033,3,Alabama,Colbert County,1535202321,79700278,+34.7031120,-087.8014569,55004,55241,630,719,73,256,-3
01,035,3,Alabama,Conecuh County,2202007855,6632046,+31.4309257,-086.9887221,12292,12067,123,182,1,-167,0
01,037,3,Alabama,Coosa County,1685850815,39987271,+32.9314453,-086.2434818,10643,10663,89,122,13,42,-2
01,039,3,Alabama,Covington County,2669134207,34226200,+31.2439873,-086.4487206,36953,37049,413,543,-5,235,-4
01,041,3,Alabama,Crenshaw County,1576952799,5388562,+31.7328256,-086.3192219,13825,13772,137,179,3,-14,0
01,043,3,Alabama,Cullman County,1902970816,52525039,+34.1319229,-086.8692666,83418,83768,990,1050,34,380,-4
01,045,3,Alabama,Dale County,1453244559,4082940,+31.4306536,-085.6094760,49143,49172,648,546,18,-89,-2
01,047,3,Alabama,Dallas County,2534919607,39124778,+32.3335397,-087.1143556,38294,37196,438,542,5,-1002,3
01,049,3,Alabama,DeKalb County,2012676480,4121543,+34.4609290,-085.8039920,71407,71513,795,819,44,90,-4
01,051,3,Alabama,Elmore County,1601768864,99957936,+32.5972290,-086.1427347,81011,81209,932,821,25,67,-5
01,053,3,Alabama,Escambia County,2448115116,20504948,+31.1222867,-087.1684097,36524,36633,420,474,-1,166,-2
01,055,3,Alabama,Etowah County,1385871922,35067763,+34.0476407,-086.0342629,102611,102268,1175,1487,37,-62,-6
01,057,3,Alabama,Fayette County,1625693288,4330881,+33.7161568,-087.7642923,16445,16302,174,225,5,-97,0
01,059,3,Alabama,Franklin County,1641841404,32643981,+34.4419892,-087.8428144,31298,31362,432,367,29,-28,-2
01,061,3,Alabama,Geneva County,1487897665,11578163,+31.0923822,-085.8210224,26306,26271,278,365,-7,62,-3
01,063,3,Alabama,Greene County,1675782059,33416141,+32.8444965,-087.9642005,8209,8111,96,93,0,-101,0
01,065,3,Alabama,Hale County,1667917734,32412739,+32.7527958,-087.6230608,14749,14651,190,181,-3,-103,-1
01,067,3,Alabama,Henry County,1454926622,16986823,+31.5169779,-085.2399712,17173,17205,167,213,-1,79,0
01,069,3,Alabama,Houston County,1501819549,4718092,+31.1581831,-085.2964111,104770,105882,1304,1137,11,936,-2
01,071,3,Alabama,Jackson County,2791974032,126334709,+34.7641140,-085.9800556,51621,51626,562,675,-7,128,-3
01,073,3,Alabama,Jefferson County,2878552100,32849845,+33.5534439,-086.8965359,659429,658573,8422,7343,460,-2375,-20
01,075,3,Alabama,Lamar County,1566544637,1600679,+33.7870852,-088.0874309,13882,13805,159,172,-1,-64,1
01,077,3,Alabama,Lauderdale County,1730146078,133608951,+34.9041221,-087.6509966,92604,92729,876,1136,35,355,-5
01,079,3,Alabama,Lawrence County,1788864251,68682382,+34.5297760,-087.3218651,32941,32924,349,428,-3,69,-4
01,081,3,Alabama,Lee County,1573514768,21526461,+32.6040644,-085.3530477,163656,164542,1825,1133,303,-112,3
01,083,3,Alabama,Limestone County,1450277886,122329712,+34.8102387,-086.9813995,96177,98915,1014,864,32,2545,11
01,085,3,Alabama,Lowndes County,1854201377,23721835,+32.1478880,-086.6505859,9974,9726,116,141,-1,-223,1
01,087,3,Alabama,Macon County,1576855716,11345392,+32.3870267,-085.6928870,18321,18068,172,264,1,-162,0
01,089,3,Alabama,Madison County,2076111961,28810665,+34.7642377,-086.5510802,367004,372909,4242,3305,230,4721,17
01,091,3,Alabama,Marengo County,2530140237,14966620,+32.2475911,-087.7910910,19056,18863,209,276,3,-129,0
01,093,3,Alabama,Marion County,1922657342,3183332,+34.1382194,-087.8815510,29750,29709,302,405,3,62,-3
01,095,3,Alabama,Marshall County,1465531863,148495459,+34.3095637,-086.3216681,96170,96774,1395,1155,65,303,-4
01,097,3,Alabama,Mobile County,3184158350,1073926668,+30.6845725,-088.1965682,413908,413210,5443,4576,266,-1821,-10
01,099,3,Alabama,Monroe County,2656469660,22609681,+31.5803324,-087.3832656,21062,20733,199,278,-2,-249,1
01,101,3,Alabama,Montgomery County,2034017780,37744718,+32.2028812,-086.2044615,226504,226486,3058,2164,321,-1235,2
01,103,3,Alabama,Morgan County,1501156832,50377239,+34.4544844,-086.8464021,119203,119679,1402,1316,113,285,-8
01,105,3,Alabama,Perry County,1863900621,10937769,+32.6390053,-087.2938269,9070,8923,95,121,2,-124,1
01,107,3,Alabama,Pickens County,2282674053,22740989,+33.2967933,-088.0968631,19980,19930,205,235,14,-33,-1
01,109,3,Alabama,Pike County,1740647520,2336975,+31.7986508,-085.9416035,33242,33114,345,339,79,-210,-3
01,111,3,Alabama,Randolph County,1503615937,9285420,+33.2964753,-085.4640679,22727,22722,254,285,-6,33,-1
01,113,3,Alabama,Russell County,1660622936,15596319,+32.2898113,-085.1869798,57784,57961,810,608,-49,26,-2
01,115,3,Alabama,St. Clair County,1635786810,56407166,+33.7129627,-086.3156631,88654,89512,983,975,23,828,-1
