state_fips,county_fips,region,state_name,county_name,estimates_base_2010
01,001,3,Alabama,Autauga County,54597
01,003,3,Alabama,Baldwin County,182265
01,005,3,Alabama,Barbour County,27455
01,007,3,Alabama,Bibb County,22915
01,009,3,Alabama,Blount County,57322
01,011,3,Alabama,Bullock County,10911
01,013,3,Alabama,Butler County,20940
01,015,3,Alabama,Calhoun County,118526
01,017,3,Alabama,Chambers County,34169
01,019,3,Alabama,Cherokee County,25979
01,021,3,Alabama,Chilton County,43632
01,023,3,Alabama,Choctaw County,13858
01,025,3,Alabama,Clarke County,25833
01,027,3,Alabama,Clay County,13930
01,029,3,Alabama,Cleburne County,14972
01,031,3,Alabama,Coffee County,49955
01,033,3,Alabama,Colbert County,54428
01,035,3,Alabama,Conecuh County,13236
01,037,3,Alabama,Coosa County,11756
01,039,3,Alabama,Covington County,37762
01,041,3,Alabama,Crenshaw County,13893
01,043,3,Alabama,Cullman County,80406
01,045,3,Alabama,Dale County,50251
01,047,3,Alabama,Dallas County,43813
01,049,3,Alabama,DeKalb County,71120
01,051,3,Alabama,Elmore County,79272
01,053,3,Alabama,Escambia County,38320
01,055,3,Alabama,Etowah County,104429
01,057,3,Alabama,Fayette County,17235
01,059,3,Alabama,Franklin County,31709
01,061,3,Alabama,Geneva County,26781
01,063,3,Alabama,Greene County,9039
01,065,3,Alabama,Hale County,15762
01,067,3,Alabama,Henry County,17299
01,069,3,Alabama,Houston County,101560
01,071,3,Alabama,Jackson County,53223
01,073,3,Alabama,Jefferson County,658567
01,075,3,Alabama,Lamar County,14564
01,077,3,Alabama,Lauderdale County,92709
01,079,3,Alabama,Lawrence County,34337
01,081,3,Alabama,Lee County,140287
01,083,3,Alabama,Limestone County,82786
01,085,3,Alabama,Lowndes County,11296
01,087,3,Alabama,Macon County,21448
01,089,3,Alabama,Madison County,334807
01,091,3,Alabama,Marengo County,21048
01,093,3,Alabama,Marion County,30776
01,095,3,Alabama,Marshall County,93019
01,097,3,Alabama,Mobile County,413139
01,099,3,Alabama,Monroe County,23067
01,101,3,Alabama,Montgomery County,229375
01,103,3,Alabama,Morgan County,119490
01,105,3,Alabama,Perry County,10575
01,107,3,Alabama,Pickens County,19746
01,109,3,Alabama,Pike County,32901
01,111,3,Alabama,Randolph County,22916
01,113,3,Alabama,Russell County,52963
01,115,3,Alabama,St. Clair County,83350
01,117,3,Alabama,Shelby County,195253
01,119,3,Alabama,Sumter County,13763
01,121,3,Alabama,Talladega County,82353
01,123,3,Alabama,Tallapoosa County,41618
01,125,3,Alabama,Tuscaloosa County,194667
01,127,3,Alabama,Walker County,67020
01,129,3,Alabama,Washington County,17580
01,131,3,Alabama,Wilcox County,11664
01,133,3,Alabama,Winston County,24488
02,013,4,Alaska,Aleutians East Borough,3141
02,016,4,Alaska,Aleutians West Census Area,5561
02,020,4,Alaska,Anchorage Municipality,291836
02,050,4,Alaska,Bethel Census Area,17013
02,060,4,Alaska,Bristol Bay Borough,997
02,068,4,Alaska,Denali Borough,1822
02,070,4,Alaska,Dillingham Census Area,4847
02,090,4,Alaska,Fairbanks North Star Borough,97585
02,100,4,Alaska,Haines Borough,2508
02,105,4,Alaska,Hoonah-Angoon Census Area,2103
02,110,4,Alaska,Juneau City and Borough,31276
02,122,4,Alaska,Kenai Peninsula Borough,55400
02,130,4,Alaska,Ketchikan Gateway Borough,13526
02,150,4,Alaska,Kodiak Island Borough,13606
02,158,4,Alaska,Kusilvak Census Area,7459
02,164,4,Alaska,Lake and Peninsula Borough,1635
02,170,4,Alaska,Matanuska-Susitna Borough,88985
02,180,4,Alaska,Nome Census Area,9492
02,185,4,Alaska,North Slope Borough,9430
02,188,4,Alaska,Northwest Arctic Borough,7523
02,195,4,Alaska,Petersburg Borough,3207
02,198,4,Alaska,Prince of Wales-Hyder Census Area,6168
02,220,4,Alaska,Sitka City and Borough,8881
02,230,4,Alaska,Skagway Municipality,968
02,240,4,Alaska,Southeast Fairbanks Census Area,7029
02,261,4,Alaska,Valdez-Cordova Census Area,9636
02,275,4,Alaska,Wrangell City and Borough,2365
02,282,4,Alaska,Yakutat City and Borough,662
02,290,4,Alaska,Yukon-Koyukuk Census Area,5588
04,001,4,Arizona,Apache County,71517
04,003,4,Arizona,Cochise County,131359
04,005,4,Arizona,Coconino County,134426
04,007,4,Arizona,Gila County,53592
04,009,4,Arizona,Graham County,37212
04,011,4,Arizona,Greenlee County,8444
04,012,4,Arizona,La Paz County,20489
04,013,4,Arizona,Maricopa County,3817365
04,015,4,Arizona,Mohave County,200182
04,017,4,Arizona,Navajo County,107488
04,019,4,Arizona,Pima County,980263
04,021,4,Arizona,Pinal County,375764
04,023,4,Arizona,Santa Cruz County,47420
04,025,4,Arizona,Yavapai County,211017
04,027,4,Arizona,Yuma County,195750
05,001,3,Arkansas,Arkansas County,19007
05,003,3,Arkansas,Ashley County,21845
05,005,3,Arkansas,Baxter County,41511
05,007,3,Arkansas,Benton County,221348
05,009,3,Arkansas,Boone County,36920
05,011,3,Arkansas,Bradley County,11505
05,013,3,Arkansas,Calhoun County,5368
05,015,3,Arkansas,Carroll County,27449
05,017,3,Arkansas,Chicot County,11800
05,019,3,Arkansas,Clark County,22991
05,021,3,Arkansas,Clay County,16083
05,023,3,Arkansas,Cleburne County,25964
05,025,3,Arkansas,Cleveland County,8692
05,027,3,Arkansas,Columbia County,24552
05,029,3,Arkansas,Conway County,21267
05,031,3,Arkansas,Craighead County,96443
05,033,3,Arkansas,Crawford County,61935
05,035,3,Arkansas,Crittenden County,50907
05,037,3,Arkansas,Cross County,17878
05,039,3,Arkansas,Dallas County,8124
05,041,3,Arkansas,Desha County,13002
05,043,3,Arkansas,Drew County,18517
05,045,3,Arkansas,Faulkner County,113238
05,047,3,Arkansas,Franklin County,18137
05,049,3,Arkansas,Fulton County,12236
05,051,3,Arkansas,Garland County,95999
05,053,3,Arkansas,Grant County,17842
05,055,3,Arkansas,Greene County,42090
05,057,3,Arkansas,Hempstead County,22587
05,059,3,Arkansas,Hot Spring County,33011
05,061,3,Arkansas,Howard County,13781
05,063,3,Arkansas,Independence County,36641
05,065,3,Arkansas,Izard County,13703
05,067,3,Arkansas,Jackson County,17998
05,069,3,Arkansas,Jefferson County,77456
05,071,3,Arkansas,Johnson County,25545
05,073,3,Arkansas,Lafayette County,7643
05,075,3,Arkansas,Lawrence County,17410
05,077,3,Arkansas,Lee County,10428
05,079,3,Arkansas,Lincoln County,14141
05,081,3,Arkansas,Little River County,13168
05,083,3,Arkansas,Logan County,22361
05,085,3,Arkansas,Lonoke County,68382
05,087,3,Arkansas,Madison County,15723
05,089,3,Arkansas,Marion County,16644
05,091,3,Arkansas,Miller County,43462
05,093,3,Arkansas,Mississippi County,46481
05,095,3,Arkansas,Monroe County,8155
05,097,3,Arkansas,Montgomery County,9497
05,099,3,Arkansas,Nevada County,9020
05,101,3,Arkansas,Newton County,8315
05,103,3,Arkansas,Ouachita County,26128
05,105,3,Arkansas,Perry County,10444
05,107,3,Arkansas,Phillips County,21755
05,109,3,Arkansas,Pike County,11287
05,111,3,Arkansas,Poinsett County,24576
05,113,3,Arkansas,Polk County,20654
05,115,3,Arkansas,Pope County,61753
05,117,3,Arkansas,Prairie County,8716
05,119,3,Arkansas,Pulaski County,382749
05,121,3,Arkansas,Randolph County,17969
05,123,3,Arkansas,St. Francis County,28253
05,125,3,Arkansas,Saline County,107135
05,127,3,Arkansas,Scott County,11241
05,129,3,Arkansas,Searcy County,8195
05,131,3,Arkansas,Sebastian County,125740
05,133,3,Arkansas,Sevier County,17059
05,135,3,Arkansas,Sharp County,17263
05,137,3,Arkansas,Stone County,12394
05,139,3,Arkansas,Union County,41639
05,141,3,Arkansas,Van Buren County,17296
05,143,3,Arkansas,Washington County,203050
05,145,3,Arkansas,White County,77086
05,147,3,Arkansas,Woodruff County,7264
05,149,3,Arkansas,Yell County,22183
06,001,4,California,Alameda County,1510258
06,003,4,California,Alpine County,1175
06,005,4,California,Amador County,38091
06,007,4,California,Butte County,220005
06,009,4,California,Calaveras County,45578
06,011,4,California,Colusa County,21407
06,013,4,California,Contra Costa County,1049204
06,015,4,California,Del Norte County,28610
06,017,4,California,El Dorado County,181058
06,019,4,California,Fresno County,930507
06,021,4,California,Glenn County,28122
06,023,4,California,Humboldt County,134611
06,025,4,California,Imperial County,174524
06,027,4,California,Inyo County,18542
06,029,4,California,Kern County,839621
06,031,4,California,Kings County,152974
06,033,4,California,Lake County,64662
06,035,4,California,Lassen County,34895
06,037,4,California,Los Angeles County,9819968
06,039,4,California,Madera County,150834
06,041,4,California,Marin County,252430
06,043,4,California,Mariposa County,18247
06,045,4,California,Mendocino County,87850
06,047,4,California,Merced County,255796
06,049,4,California,Modoc County,9682
06,051,4,California,Mono County,14206
