STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,TOTSTAFF,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,TOTPRO,GPTERMS,PITUSR,WIFISESS,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,KENAI PENINSULA,9072355692,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,2043,2025,1,0,0,0.67,17453,0,97,0,3915,0,0,11,1404,6679,500,1503,13214,3705,10,7,1435,1053,08,00,00,00,-151.831591,59.779667
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,9073432892,NO,CO,MO,Y,MA1,N,1/1/15,12/31/15,299037,296338,1,4,0,78.2,367652,13694,37639,47992,66509,0,14,727,10608,860751,67785,100065,1831505,531712,1898,162,130431,22549,08,00,00,00,-149.876735,61.187512
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,9075822628,NO,CI,SO,Y,CI1,N,7/1/15,6/30/16,238,236,1,0,0,0.75,15708,0,68,0,1337,0,0,0,480,1145,340,154,640,0,1,5,210,0,08,00,00,00,-149.174471,64.343714
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,BETHEL,9075434516,NO,MJ,SO,Y,CI1,N,7/1/15,6/30/16,6244,6188,1,0,0,2.5,33200,13694,317,8657,2475,0,128,48,1200,44775,1500,1657,11378,2757,173,8,6600,-1,08,00,00,00,-161.771006,60.791148
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,9078617635,NO,CO,SO,Y,CO1,N,7/1/15,6/30/16,10259,10166,1,0,0,3,26311,13696,2020,8657,3360,0,0,53,2551,62283,466,2823,41094,17572,391,21,11638,5720,08,00,00,00,-149.818642,61.547268
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,9077682372,NO,NP,SO,Y,CI1,N,7/1/15,6/30/16,198,196,1,0,0,0.8,9787,13694,223,0,348,0,0,12,510,3205,375,164,3150,1375,37,1,60,510,08,00,00,00,-148.792318,63.638156
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,9075120880,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,46,46,1,0,0,0,1000,0,0,0,200,0,0,0,144,337,6,55,206,106,0,2,75,240,08,00,00,00,-152.234562,57.612147
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,ALEUTIANS EAST,9075322878,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,59,58,1,0,0,0,6980,5,172,0,3700,0,0,12,600,996,50,87,845,228,30,5,523,327,08,00,00,00,-162.709803,55.207101
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,9075951241,NO,NP,SO,N,CI1,N,7/1/15,6/30/16,250,248,1,0,0,0,3738,0,192,0,853,0,0,1,1092,2765,150,489,2519,1034,46,4,382,295,08,00,00,15,-149.824176,60.493891
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,CI1,N,1/1/15,12/31/15,2321,2300,1,0,0,5.5,17813,13694,602,8440,1250,0,0,31,2587,18374,1993,2386,13706,426,212,5,5073,3451,08,00,00,15,-145.758687,60.544525
