geoid,county,st,pct_travel_60_min,pct_bach_higher,pct_masters_higher,med_hh_inc
0500000US01001,Autauga County,Alabama,5.67,27.69,11.81,58786
0500000US01003,Baldwin County,Alabama,7.86,31.35,10.64,55962
0500000US01005,Barbour County,Alabama,8.02,12.22,4.42,34186
0500000US01007,Bibb County,Alabama,8.85,11.49,3.90,45340
0500000US01009,Blount County,Alabama,17.95,12.64,4.52,48695
0500000US01011,Bullock County,Alabama,12.81,13.30,5.90,32152
0500000US01013,Butler County,Alabama,6.70,16.09,6.42,39109
0500000US01015,Calhoun County,Alabama,7.38,17.97,7.78,45197
0500000US01017,Chambers County,Alabama,5.58,13.23,3.90,39872
0500000US01019,Cherokee County,Alabama,8.77,12.89,6.07,41014
0500000US01021,Chilton County,Alabama,17.70,14.16,5.00,45182
0500000US01023,Choctaw County,Alabama,15.97,12.98,4.82,34884
0500000US01025,Clarke County,Alabama,11.33,12.55,4.60,36127
0500000US01027,Clay County,Alabama,15.90,10.17,4.67,41225
0500000US01029,Cleburne County,Alabama,13.60,13.67,4.80,40188
0500000US01031,Coffee County,Alabama,4.52,23.42,7.84,53155
0500000US01033,Colbert County,Alabama,6.59,18.73,6.89,47558
0500000US01035,Conecuh County,Alabama,5.55,10.73,3.58,33177
0500000US01037,Coosa County,Alabama,11.24,11.58,3.00,38301
0500000US01039,Covington County,Alabama,9.34,14.95,5.34,40601
0500000US01041,Crenshaw County,Alabama,11.61,15.56,4.19,39812
0500000US01043,Cullman County,Alabama,12.66,13.75,4.93,42558
0500000US01045,Dale County,Alabama,3.96,17.05,5.84,45960
0500000US01047,Dallas County,Alabama,8.24,15.12,6.47,31602
0500000US01049,DeKalb County,Alabama,6.88,12.71,5.28,39233
0500000US01051,Elmore County,Alabama,5.37,24.51,8.46,59347
0500000US01053,Escambia County,Alabama,8.32,12.66,4.65,35000
0500000US01055,Etowah County,Alabama,7.70,17.73,6.85,44023
0500000US01057,Fayette County,Alabama,14.30,12.94,3.81,37458
0500000US01059,Franklin County,Alabama,11.17,12.87,5.07,40459
0500000US01061,Geneva County,Alabama,9.66,11.09,4.11,38142
0500000US01063,Greene County,Alabama,14.42,10.10,3.74,21804
0500000US01065,Hale County,Alabama,11.75,14.11,4.82,30571
0500000US01067,Henry County,Alabama,6.60,17.97,7.29,48610
0500000US01069,Houston County,Alabama,3.12,21.03,7.77,45496
0500000US01071,Jackson County,Alabama,7.57,14.18,4.92,39816
0500000US01073,Jefferson County,Alabama,4.10,32.42,12.63,51979
0500000US01075,Lamar County,Alabama,9.90,12.48,4.16,36756
0500000US01077,Lauderdale County,Alabama,7.53,23.94,9.12,46265
0500000US01079,Lawrence County,Alabama,7.44,11.70,4.03,44515
0500000US01081,Lee County,Alabama,4.14,34.09,14.46,48056
0500000US01083,Limestone County,Alabama,4.68,25.46,8.57,56460
0500000US01085,Lowndes County,Alabama,9.04,14.12,4.82,30833
0500000US01087,Macon County,Alabama,4.64,20.68,9.45,32074
0500000US01089,Madison County,Alabama,1.79,41.70,15.98,63417
0500000US01091,Marengo County,Alabama,11.32,15.41,6.51,32809
0500000US01093,Marion County,Alabama,8.51,13.14,5.15,35392
0500000US01095,Marshall County,Alabama,8.74,19.22,6.78,42490
0500000US01097,Mobile County,Alabama,4.80,22.94,7.80,46166
0500000US01099,Monroe County,Alabama,12.15,14.08,5.39,30141
0500000US01101,Montgomery County,Alabama,3.22,32.08,13.19,47990
0500000US01103,Morgan County,Alabama,4.01,21.70,6.60,49751
0500000US01105,Perry County,Alabama,13.30,15.70,7.55,23561
0500000US01107,Pickens County,Alabama,14.76,13.45,4.13,37458
0500000US01109,Pike County,Alabama,5.73,23.55,8.78,34678
0500000US01111,Randolph County,Alabama,9.64,14.93,5.81,41449
0500000US01113,Russell County,Alabama,3.73,16.53,6.58,40978
0500000US01115,St. Clair County,Alabama,6.82,16.46,5.25,54887
0500000US01117,Shelby County,Alabama,7.90,42.13,14.23,75761
0500000US01119,Sumter County,Alabama,8.69,21.82,10.21,23132
0500000US01121,Talladega County,Alabama,8.88,14.28,5.39,41012
0500000US01123,Tallapoosa County,Alabama,10.32,18.35,6.36,43361
