state_fips,county_fips,county,state,naics_2017,naics_2017_label,year,establishments
01,001,Autauga County,Alabama,72,Accommodation and food services,2018,102
01,003,Baldwin County,Alabama,72,Accommodation and food services,2018,575
01,005,Barbour County,Alabama,72,Accommodation and food services,2018,48
01,007,Bibb County,Alabama,72,Accommodation and food services,2018,18
01,009,Blount County,Alabama,72,Accommodation and food services,2018,49
01,011,Bullock County,Alabama,72,Accommodation and food services,2018,7
01,013,Butler County,Alabama,72,Accommodation and food services,2018,41
01,015,Calhoun County,Alabama,72,Accommodation and food services,2018,216
01,017,Chambers County,Alabama,72,Accommodation and food services,2018,58
01,019,Cherokee County,Alabama,72,Accommodation and food services,2018,40
01,021,Chilton County,Alabama,72,Accommodation and food services,2018,59
01,023,Choctaw County,Alabama,72,Accommodation and food services,2018,21
01,025,Clarke County,Alabama,72,Accommodation and food services,2018,49
01,027,Clay County,Alabama,72,Accommodation and food services,2018,10
01,029,Cleburne County,Alabama,72,Accommodation and food services,2018,11
01,031,Coffee County,Alabama,72,Accommodation and food services,2018,101
01,033,Colbert County,Alabama,72,Accommodation and food services,2018,100
01,035,Conecuh County,Alabama,72,Accommodation and food services,2018,17
01,037,Coosa County,Alabama,72,Accommodation and food services,2018,3
01,039,Covington County,Alabama,72,Accommodation and food services,2018,60
01,041,Crenshaw County,Alabama,72,Accommodation and food services,2018,14
01,043,Cullman County,Alabama,72,Accommodation and food services,2018,151
01,045,Dale County,Alabama,72,Accommodation and food services,2018,75
01,047,Dallas County,Alabama,72,Accommodation and food services,2018,56
01,049,DeKalb County,Alabama,72,Accommodation and food services,2018,93
01,051,Elmore County,Alabama,72,Accommodation and food services,2018,108
01,053,Escambia County,Alabama,72,Accommodation and food services,2018,60
01,055,Etowah County,Alabama,72,Accommodation and food services,2018,184
01,057,Fayette County,Alabama,72,Accommodation and food services,2018,22
01,059,Franklin County,Alabama,72,Accommodation and food services,2018,44
01,061,Geneva County,Alabama,72,Accommodation and food services,2018,28
01,063,Greene County,Alabama,72,Accommodation and food services,2018,4
01,065,Hale County,Alabama,72,Accommodation and food services,2018,16
01,067,Henry County,Alabama,72,Accommodation and food services,2018,20
01,069,Houston County,Alabama,72,Accommodation and food services,2018,258
01,071,Jackson County,Alabama,72,Accommodation and food services,2018,80
01,073,Jefferson County,Alabama,72,Accommodation and food services,2018,1502
01,075,Lamar County,Alabama,72,Accommodation and food services,2018,19
01,077,Lauderdale County,Alabama,72,Accommodation and food services,2018,177
01,079,Lawrence County,Alabama,72,Accommodation and food services,2018,40
01,081,Lee County,Alabama,72,Accommodation and food services,2018,388
01,083,Limestone County,Alabama,72,Accommodation and food services,2018,108
01,087,Macon County,Alabama,72,Accommodation and food services,2018,20
01,089,Madison County,Alabama,72,Accommodation and food services,2018,792
01,091,Marengo County,Alabama,72,Accommodation and food services,2018,41
01,093,Marion County,Alabama,72,Accommodation and food services,2018,58
01,095,Marshall County,Alabama,72,Accommodation and food services,2018,194
01,097,Mobile County,Alabama,72,Accommodation and food services,2018,721
01,099,Monroe County,Alabama,72,Accommodation and food services,2018,22
01,101,Montgomery County,Alabama,72,Accommodation and food services,2018,536
01,103,Morgan County,Alabama,72,Accommodation and food services,2018,197
01,105,Perry County,Alabama,72,Accommodation and food services,2018,13
01,107,Pickens County,Alabama,72,Accommodation and food services,2018,12
01,109,Pike County,Alabama,72,Accommodation and food services,2018,86
01,111,Randolph County,Alabama,72,Accommodation and food services,2018,21
01,113,Russell County,Alabama,72,Accommodation and food services,2018,96
01,115,St. Clair County,Alabama,72,Accommodation and food services,2018,116
01,117,Shelby County,Alabama,72,Accommodation and food services,2018,397
01,119,Sumter County,Alabama,72,Accommodation and food services,2018,22
01,121,Talladega County,Alabama,72,Accommodation and food services,2018,127
01,123,Tallapoosa County,Alabama,72,Accommodation and food services,2018,63
01,125,Tuscaloosa County,Alabama,72,Accommodation and food services,2018,429
01,127,Walker County,Alabama,72,Accommodation and food services,2018,94
01,129,Washington County,Alabama,72,Accommodation and food services,2018,9
01,131,Wilcox County,Alabama,72,Accommodation and food services,2018,14
01,133,Winston County,Alabama,72,Accommodation and food services,2018,28
02,013,Aleutians East Borough,Alaska,72,Accommodation and food services,2018,9
02,016,Aleutians West Census Area,Alaska,72,Accommodation and food services,2018,8
02,020,Anchorage Municipality,Alaska,72,Accommodation and food services,2018,774
02,050,Bethel Census Area,Alaska,72,Accommodation and food services,2018,19
02,060,Bristol Bay Borough,Alaska,72,Accommodation and food services,2018,19
02,068,Denali Borough,Alaska,72,Accommodation and food services,2018,37
02,070,Dillingham Census Area,Alaska,72,Accommodation and food services,2018,12
02,090,Fairbanks North Star Borough,Alaska,72,Accommodation and food services,2018,222
02,100,Haines Borough,Alaska,72,Accommodation and food services,2018,21
02,105,Hoonah-Angoon Census Area,Alaska,72,Accommodation and food services,2018,17
02,110,Juneau City and Borough,Alaska,72,Accommodation and food services,2018,123
02,122,Kenai Peninsula Borough,Alaska,72,Accommodation and food services,2018,294
02,130,Ketchikan Gateway Borough,Alaska,72,Accommodation and food services,2018,62
02,150,Kodiak Island Borough,Alaska,72,Accommodation and food services,2018,50
02,164,Lake and Peninsula Borough,Alaska,72,Accommodation and food services,2018,10
02,170,Matanuska-Susitna Borough,Alaska,72,Accommodation and food services,2018,243
02,180,Nome Census Area,Alaska,72,Accommodation and food services,2018,18
02,185,North Slope Borough,Alaska,72,Accommodation and food services,2018,26
02,188,Northwest Arctic Borough,Alaska,72,Accommodation and food services,2018,7
02,195,Petersburg Borough,Alaska,72,Accommodation and food services,2018,14
02,198,Prince of Wales-Hyder Census Area,Alaska,72,Accommodation and food services,2018,28
02,220,Sitka City and Borough,Alaska,72,Accommodation and food services,2018,40
02,230,Skagway Municipality,Alaska,72,Accommodation and food services,2018,21
02,240,Southeast Fairbanks Census Area,Alaska,72,Accommodation and food services,2018,22
02,261,Valdez-Cordova Census Area,Alaska,72,Accommodation and food services,2018,70
02,275,Wrangell City and Borough,Alaska,72,Accommodation and food services,2018,6
02,282,Yakutat City and Borough,Alaska,72,Accommodation and food services,2018,6
02,290,Yukon-Koyukuk Census Area,Alaska,72,Accommodation and food services,2018,8
04,001,Apache County,Arizona,72,Accommodation and food services,2018,59
04,003,Cochise County,Arizona,72,Accommodation and food services,2018,257
04,005,Coconino County,Arizona,72,Accommodation and food services,2018,609
04,007,Gila County,Arizona,72,Accommodation and food services,2018,142
04,009,Graham County,Arizona,72,Accommodation and food services,2018,59
04,011,Greenlee County,Arizona,72,Accommodation and food services,2018,9
04,012,La Paz County,Arizona,72,Accommodation and food services,2018,77
04,013,Maricopa County,Arizona,72,Accommodation and food services,2018,8180
04,015,Mohave County,Arizona,72,Accommodation and food services,2018,402
04,017,Navajo County,Arizona,72,Accommodation and food services,2018,224
04,019,Pima County,Arizona,72,Accommodation and food services,2018,1888
04,021,Pinal County,Arizona,72,Accommodation and food services,2018,361
04,023,Santa Cruz County,Arizona,72,Accommodation and food services,2018,91
04,025,Yavapai County,Arizona,72,Accommodation and food services,2018,584
04,027,Yuma County,Arizona,72,Accommodation and food services,2018,346
05,001,Arkansas County,Arkansas,72,Accommodation and food services,2018,46
05,003,Ashley County,Arkansas,72,Accommodation and food services,2018,28
05,005,Baxter County,Arkansas,72,Accommodation and food services,2018,104
05,007,Benton County,Arkansas,72,Accommodation and food services,2018,516
05,009,Boone County,Arkansas,72,Accommodation and food services,2018,69
05,011,Bradley County,Arkansas,72,Accommodation and food services,2018,17
05,013,Calhoun County,Arkansas,72,Accommodation and food services,2018,4
05,015,Carroll County,Arkansas,72,Accommodation and food services,2018,140
05,017,Chicot County,Arkansas,72,Accommodation and food services,2018,13
05,019,Clark County,Arkansas,72,Accommodation and food services,2018,63
05,021,Clay County,Arkansas,72,Accommodation and food services,2018,20
